Id,Week,Date,HomeTeam,Score,AwayTeam,Attendence,HTShotsOnTarget,ATShotsOnTarget,HTShotsTotal,ATShotsTotal,HTPossesion,ATPossesion,HTPassesTotal,ATPassesTotal,HTPassingAccuracy,ATPassingAccuracy,HTResult,HTPoints,HTGoalsScored,HTGoalsAgainst,HTGoalDifference,HTMatchesWon,HTMatchesLost,HTMatchesDraw,ATPoints,ATGoalsScored,ATGoalsAgainst,ATGoalDifference,ATMatchesWon,ATMatchesLost,ATMatchesDraw
135,14,11/09/2022 00:00:00,Espanyol,0:1,Villarreal,174,6,3,14,10,44,56,448,563,83,88,L,12,16,21,-5,2,5,6,18,14,10,4,5,5,3
136,14,11/09/2022 00:00:00,Mallorca,1:0,Atlético Madrid,14475,3,5,9,17,37,63,375,641,75,83,W,16,12,13,-1,4,5,4,24,21,13,8,7,3,3
137,14,11/10/2022 00:00:00,Rayo Vallecano,0:0,Celta Vigo,12419,3,3,10,11,59,41,576,405,81,76,D,21,20,16,4,6,4,3,11,14,26,-12,3,8,2
138,14,11/10/2022 00:00:00,Valencia,3:0,Betis,39876,6,1,14,5,62,38,592,363,85,72,W,16,19,15,4,4,5,4,24,17,9,8,7,3,3
139,14,11/10/2022 00:00:00,Real Madrid,2:1,Cádiz,5319,5,5,18,10,66,34,717,367,88,77,W,32,31,13,18,10,1,2,11,8,24,-16,2,6,5
140,15,12/29/2022 00:00:00,Girona,2:2,Rayo Vallecano,11451,5,4,14,12,59,41,570,389,81,75,D,16,20,22,-2,4,6,4,22,20,16,4,6,4,4
141,15,12/29/2022 00:00:00,Betis,0:0,Athletic Club,53565,5,0,9,10,53,47,511,448,77,74,D,24,17,12,5,7,4,3,24,24,14,10,7,4,3
142,15,12/29/2022 00:00:00,Atlético Madrid,2:0,Elche,48119,4,1,18,5,62,38,623,387,87,79,W,24,21,14,7,7,4,3,4,10,31,-21,0,10,4
143,15,12/30/2022 00:00:00,Getafe,2:0,Mallorca,9755,6,0,14,3,55,45,549,447,77,72,W,14,12,20,-8,3,6,5,19,13,13,0,5,5,4
144,15,12/30/2022 00:00:00,Cádiz,1:1,Almería,17345,6,10,12,19,49,51,484,495,76,80,D,11,9,26,-17,2,7,5,16,16,22,-6,5,8,1
